"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_KD"	"Conc_WT"	"Fold"	"p.value"	"FDR"
"chr17"	73236707	73237107	401	"*"	7.73353640877622	6.06063915350607	8.48746360230126	-2.32175541999406	7.39456937723423e-43	1.48382598224744e-39
"chr1"	16951385	16951785	401	"*"	8.22159156802932	6.97050066060365	8.88139705175906	-1.85695420472202	3.66113027210512e-41	6.85680884894994e-38
"chr20"	25275051	25275451	401	"*"	7.78860377721952	6.1919370743922	8.52789886042308	-2.23854370546946	4.17448626264544e-41	7.32961516103115e-38
"chr17"	42287675	42288075	401	"*"	8.2753732305267	7.05616218229145	8.92658106095731	-1.81809281389872	5.71816121547046e-41	9.44942958977715e-38
"chr17"	79075507	79075907	401	"*"	9.23494209899984	8.50917551571489	9.71554260941778	-1.19529818375851	2.7189387182823e-39	4.2435080784836e-36
"chr1"	62996171	62996571	401	"*"	7.33407205095446	5.35149401070975	8.13892085784662	-2.61307053509067	1.54260490833959e-38	2.28086314157811e-35
"chr1"	155995653	155996053	401	"*"	7.34420201677372	5.45255240494374	8.13539201570475	-2.52296380544046	9.90698441993559e-38	1.39158456654625e-34
"chr16"	30198602	30199002	401	"*"	8.06149527068169	6.78845426421004	8.72708210426603	-1.87502734588812	1.33076129955339e-37	1.78024177087397e-34
"chr1"	119870488	119870888	401	"*"	7.23548016695264	5.14091134731911	8.05585274610866	-2.70864663165564	2.61683657114298e-37	3.34158135423272e-34
"chr1"	226757592	226757992	401	"*"	7.5682662625315	5.98518327147885	8.30485566075547	-2.21362346873748	4.33580799875862e-36	5.29590670039678e-33
"chr6"	144263238	144263638	401	"*"	7.73988708496139	6.23419488249369	8.46046221840016	-2.12870086844601	4.59603344241114e-36	5.37984864573567e-33
"chr15"	102118757	102119157	401	"*"	7.93110433432898	6.63037957529382	8.60382635354886	-1.90573671974932	5.06684973685027e-36	5.69372038629339e-33
"chr18"	30499764	30500164	401	"*"	7.70056484914248	6.20024117075689	8.41999007478098	-2.12196810843583	1.27093537282e-35	1.37324567033201e-32
"chr1"	231686097	231686497	401	"*"	7.79174061988064	6.35052954304054	8.49815355185999	-2.05963083407888	1.49348853254046e-35	1.5539471609133e-32
"chr9"	131495447	131495847	401	"*"	7.44790554839516	5.76625336432409	8.20345509124645	-2.30576793248003	4.11453024351165e-35	4.12819636182046e-32
"chr17"	27229837	27230237	401	"*"	9.05441965066187	8.3282817711985	9.53518103576111	-1.18984552742936	4.32220428693727e-35	4.18702362182513e-32
"chr1"	158057109	158057509	401	"*"	7.85047314100431	6.51439523628887	8.53206092005146	-1.94084520332849	8.05146875970837e-35	7.53966372888291e-32
"chr19"	47535463	47535863	401	"*"	7.45560323982017	5.84308668188326	8.19801705298982	-2.2369328562221	1.48438129413615e-34	1.34518463536022e-31
"chr6"	29039889	29040289	401	"*"	7.70298134872363	6.28976452277328	8.40300058498276	-2.02836020410338	4.08528375306019e-34	3.586496139835e-31
"chr3"	9768677	9769077	401	"*"	7.6243577250143	6.16715551510325	8.33435521545324	-2.07320496276305	4.70500027581575e-34	4.00538099237854e-31
"chr10"	102772584	102772984	401	"*"	8.74228475970123	7.90571356796751	9.26838076312672	-1.33883284021324	9.02934825085543e-34	7.4606317768024e-31
"chr16"	2888828	2889228	401	"*"	7.08565596720838	5.05139735895683	7.8978392365976	-2.63626356124107	1.14763835501225e-33	9.21160123067402e-31
"chr16"	85524599	85524999	401	"*"	7.31870130649364	5.58642297223621	8.08340730618744	-2.35028952500641	1.52076480034863e-33	1.18674570933873e-30
"chr15"	77925790	77926190	401	"*"	9.67219611850306	9.17209987834076	10.0428518778977	-0.86353243031194	5.94173145644125e-33	4.51138004880552e-30
"chr7"	155326538	155326938	401	"*"	7.43583766433222	5.87476572659596	8.16797730196072	-2.17927686553462	6.84539719425904e-33	5.06073008890313e-30
"chr15"	66990687	66991087	401	"*"	7.71854868205554	6.37336197897251	8.40237711929498	-1.94988546917632	2.11916129997376e-32	1.5265025230811e-29
"chr21"	43527884	43528284	401	"*"	7.4148619399276	5.85375874897333	8.14700795378069	-2.17525233483404	2.78640403374387e-32	1.95696121299916e-29
"chr1"	53935758	53936158	401	"*"	7.83197634757314	6.56021355730846	8.49722955368185	-1.86655180880621	4.69556392546167e-32	3.21737749653646e-29
"chr7"	149450745	149451145	401	"*"	7.9712764474589	6.78321093376406	8.61384774991314	-1.76970039908602	6.14169351401535e-32	4.1080618068865e-29
"chr19"	56616437	56616837	401	"*"	7.43387239954781	5.87455929805548	8.16565293441617	-2.17504236325099	3.0872576228018e-31	2.01698438133421e-28
"chr15"	72578258	72578658	401	"*"	7.2820136822277	5.63684678537299	8.03072443876891	-2.25682022896771	5.77369282941764e-31	3.68637165129158e-28
"chrX"	68353822	68354222	401	"*"	7.18668824271471	5.43809278881883	7.95426562062291	-2.35649659013619	6.26954005110802e-31	3.91400419235062e-28
"chr17"	159084	159484	401	"*"	7.04989913202045	5.12346473706309	7.84643163201144	-2.52438147046471	8.25776094472771e-31	5.04315822217903e-28
"chr21"	44270863	44271263	401	"*"	7.51240156957139	6.09706968217465	8.21290921490203	-2.01777356686509	8.9085363026485e-31	5.32484064575115e-28
"chr1"	227422627	227423027	401	"*"	7.46929701920427	6.02345101904793	8.17675392288274	-2.04867473673055	1.35203009269909e-30	7.91303779045741e-28
"chr3"	184521057	184521457	401	"*"	7.29627254750875	5.68503797549934	8.03843562895301	-2.21647606043123	2.07603141040331e-30	1.19024388596858e-27
"chr6"	24521177	24521577	401	"*"	7.37902083930655	5.87471412222986	8.09929970672136	-2.10604010568347	7.24240517896979e-30	4.06921777385597e-27
"chr2"	17081662	17082062	401	"*"	7.59726167382009	6.24225994105683	8.28348486133017	-1.95007623146056	1.20795439170525e-29	6.65393386787756e-27
"chr22"	24552877	24553277	401	"*"	7.74727801165909	6.51432898856236	8.40222042553667	-1.81328271440673	1.43070939315534e-29	7.63216192707287e-27
"chr11"	119404529	119404929	401	"*"	8.22374969107784	7.23347067797987	8.80545725242242	-1.52924814881915	1.43987677405354e-29	7.63216192707287e-27
"chr1"	228187029	228187429	401	"*"	8.34438238790972	7.41362479855817	8.90550534724396	-1.45714373331967	1.59216088947855e-29	8.28306960520758e-27
"chr16"	30066336	30066736	401	"*"	7.55514988701327	6.21739930284643	8.23715044825841	-1.93092989926943	1.67189961056525e-29	8.53975922901991e-27
"chr1"	173883391	173883791	401	"*"	7.95220326138891	6.83236165306445	8.57499838496816	-1.6831384633263	2.22583051669843e-29	1.11661172688587e-26
"chr22"	41972878	41973278	401	"*"	7.09413607428519	5.35097476208477	7.86076142594013	-2.34175474528868	3.46989093820791e-29	1.71016923029956e-26
"chr17"	25707990	25708390	401	"*"	9.13369040116599	8.51930732668105	9.56321621600312	-1.03255304775759	6.16771641465954e-29	2.98740788339708e-26
"chr10"	106398568	106398968	401	"*"	7.21418465729381	5.59928880168334	7.9570631099264	-2.21485028003248	6.50188499091786e-29	3.09588906864162e-26
"chr1"	154989957	154990357	401	"*"	8.49610486330286	7.6301197542765	9.03347883436978	-1.37462564941713	6.89597588905294e-29	3.22881084418607e-26
"chr1"	154298705	154299105	401	"*"	7.5540850755074	6.14947085612523	8.25210868913752	-2.00536501764528	7.98064593211669e-29	3.67541452739269e-26
"chr9"	82093365	82093765	401	"*"	7.22923266009075	5.66087428964388	7.96285437257266	-2.16990866358698	9.1795501356805e-29	4.15937261228504e-26
"chr1"	235764390	235764790	401	"*"	7.24127159391939	5.66063486853051	7.97737047439039	-2.1835879395	1.00044762702085e-28	4.46120241045981e-26
"chr17"	47485320	47485720	401	"*"	7.92478244793987	6.81589468663833	8.54428810458603	-1.66795066466191	1.3659339321738e-28	5.99580968071229e-26
"chr1"	144972835	144973235	401	"*"	6.95215597901948	5.03328915492882	7.74753880597267	-2.49585734883755	2.74992629440953e-28	1.1885181444438e-25
"chr12"	114392906	114393306	401	"*"	7.02374893401443	5.24177987013583	7.79708176574919	-2.37415792492483	3.00740337742399e-28	1.2801058042723e-25
"chr5"	177547853	177548253	401	"*"	7.64626658289548	6.41001385959242	8.30210036540454	-1.81619116064824	3.17525984264082e-28	1.3313817128255e-25
"chr12"	262330	262730	401	"*"	7.68897960165751	6.44561866222926	8.34672248557254	-1.81952951279315	4.08543577490883e-28	1.68782569447814e-25
"chr1"	212208422	212208822	401	"*"	8.44521806555373	7.5767453243022	8.98353136454563	-1.37213196776308	4.80721712487663e-28	1.94385356015791e-25
"chr1"	228702965	228703365	401	"*"	7.9756217739379	6.92086707532882	8.57838357714198	-1.60443013975226	4.84354640697163e-28	1.94385356015791e-25
"chr22"	19941166	19941566	401	"*"	7.07798758602284	5.27305908346917	7.85519036438362	-2.39074536580914	5.01779422400773e-28	1.98542103007111e-25
"chr6"	133089085	133089485	401	"*"	7.43867012280591	6.0700474928875	8.12818328051926	-1.9612220151908	5.47279855861623e-28	2.13537958204453e-25
"chr14"	24834816	24835216	401	"*"	7.6093003775786	6.3585250374524	8.2690219317395	-1.82961491792687	6.17077420844583e-28	2.37473369640916e-25
"chr20"	44221195	44221595	401	"*"	6.93922347092048	5.03338161930666	7.73261118053589	-2.48140214547505	8.00549709168624e-28	3.03916797022624e-25
"chr7"	140346839	140347239	401	"*"	7.26673283379553	5.75451876015344	7.98869794697484	-2.10499909900229	1.05515691251489e-27	3.9523364191041e-25
"chr5"	176918462	176918862	401	"*"	9.00917807311466	8.36788932049116	9.45157493606616	-1.07057558138117	1.16908308833137e-27	4.32145410532803e-25
"chr10"	47080933	47081333	401	"*"	8.23731931779336	7.30905144110101	8.79755602638395	-1.45127635236576	1.70987136659891e-27	6.23836575348872e-25
"chr1"	207080815	207081215	401	"*"	6.84304573075482	4.85396817510937	7.64883353125926	-2.55400151067446	1.92659976913415e-27	6.93897016849817e-25
"chr1"	235761400	235761800	401	"*"	7.3440838507946	5.93615982081528	8.04287700614662	-1.9992840257183	2.01014811068377e-27	7.14823935106823e-25
"chr16"	2053785	2054185	401	"*"	8.37935163240619	7.50101339426869	8.92136826284511	-1.38635301816698	2.3760898690126e-27	8.34393658627138e-25
"chr18"	35158872	35159272	401	"*"	7.47552718839555	6.15840387396034	8.15239539392231	-1.90407720305091	3.36625324175031e-27	1.1675080533394e-24
"chr19"	17607032	17607432	401	"*"	9.07556446353497	8.4646925544731	9.50338424016958	-1.02643772423815	4.13292320784033e-27	1.4110980672366e-24
"chr11"	118560654	118561054	401	"*"	8.96816534869533	8.32643343507178	9.41077125746875	-1.0690329521596	4.16905063825997e-27	1.4110980672366e-24
"chr14"	77251119	77251519	401	"*"	7.18778636570374	5.63660334306835	7.91790010638411	-2.1411257955817	4.89826547328613e-27	1.63817823739318e-24
"chr12"	52721268	52721668	401	"*"	6.86728409862592	4.93620927348853	7.66451815028989	-2.49615247289579	5.23666297368121e-27	1.73074791670149e-24
"chr8"	145539611	145540011	401	"*"	7.20958709124752	5.64848805527638	7.94173225741811	-2.14890580008457	6.06364708838618e-27	1.98076787969806e-24
"chrX"	153188287	153188687	401	"*"	7.23165913093536	5.73172828802346	7.95100000920885	-2.08815140996038	8.28793248722996e-27	2.67624008464082e-24
"chr17"	72956749	72957149	401	"*"	6.94214740786173	5.08756934992281	7.7274773869135	-2.43134535652076	1.0831148526071e-26	3.45772108571492e-24
"chr19"	8412577	8412977	401	"*"	6.85103877179517	4.93591253201877	7.64585075409042	-2.47915544185835	1.23818832710194e-26	3.90836232283988e-24
"chr16"	30669240	30669640	401	"*"	7.99868170284185	6.98993329012778	8.58654859186644	-1.54659564712259	1.37664133126943e-26	4.29710943548357e-24
"chr11"	32906311	32906711	401	"*"	7.15106631155376	5.59910140799556	7.8813408425843	-2.14044261715457	1.39530520436282e-26	4.30750649518294e-24
"chr15"	88998224	88998624	401	"*"	7.45209478757534	6.15840387396034	8.12302018913692	-1.8732566570138	1.41760773627779e-26	4.32878849296218e-24
"chr9"	90427791	90428191	401	"*"	7.83878698784796	6.76039799308274	8.4489603914101	-1.62919838893766	1.70962688196696e-26	5.16435999947288e-24
"chr16"	30016819	30017219	401	"*"	8.01612350113556	6.98979035052913	8.60975797943723	-1.57047320505322	2.34511054029537e-26	6.98952144581198e-24
"chr11"	82406757	82407157	401	"*"	6.96737404932938	5.22576084618826	7.73372741003296	-2.32395553543116	2.36359426672886e-26	6.98952144581198e-24
"chr20"	62701058	62701458	401	"*"	7.71306946589186	6.57982016135463	8.33984705640056	-1.69321477453551	3.0244511816658e-26	8.85061531734763e-24
"chr10"	112431802	112432202	401	"*"	7.33157419791827	5.94626566222911	8.02506550615826	-1.97250030687563	4.02120358329102e-26	1.16461517799376e-23
"chr5"	10857115	10857515	401	"*"	7.45236835006419	6.16686052800426	8.12118969277215	-1.86135119594454	4.07861238705195e-26	1.16918834479031e-23
"chr7"	155531352	155531752	401	"*"	7.12732085778689	5.54712239931612	7.86333175278128	-2.1700344714653	4.3867670005636e-26	1.24482268027104e-23
"chr17"	73621971	73622371	401	"*"	7.63947991867319	6.47366706509369	8.27573278385219	-1.72941165126341	9.25737479425547e-26	2.60067430095019e-23
"chr1"	100194339	100194739	401	"*"	7.89900110694119	6.84253271002828	8.50230570105903	-1.60309519262765	1.07879484716375e-25	3.00065184568031e-23
"chr6"	168472277	168472677	401	"*"	6.94236808430221	5.2255989998148	7.70430920479053	-2.293622200322	1.29727095520757e-25	3.572964014181e-23
"chr1"	228367978	228368378	401	"*"	7.38196494669164	6.07899180264241	8.05525894419621	-1.88161901167177	1.48834934080342e-25	4.05943670205733e-23
"chr1"	225965166	225965566	401	"*"	8.60411705676879	7.84836688949257	9.09752014119993	-1.22644903682725	1.5951643567059e-25	4.30893771855181e-23
"chr1"	3612148	3612548	401	"*"	7.0588427743691	5.42454471617085	7.80547620928093	-2.2122752396321	1.75490802713016e-25	4.6952982101112e-23
"chr3"	126108090	126108490	401	"*"	7.35836741739918	5.97491409659582	8.05141922599327	-1.96368203677648	1.77434866887578e-25	4.70252614667238e-23
"chr19"	41312768	41313168	401	"*"	7.57798850691822	6.38833709560023	8.22100535564302	-1.75336506080996	2.24126406066448e-25	5.86011077630645e-23
"chr9"	34252912	34253312	401	"*"	7.66140831900784	6.51436211280587	8.29223424241141	-1.70951975532156	2.25284577596233e-25	5.86011077630645e-23
"chr22"	37825016	37825416	401	"*"	7.14594594265029	5.63629898240913	7.86736484694596	-2.09000317471825	2.73775602113514e-25	7.05612659649077e-23
"chr1"	242161859	242162259	401	"*"	7.01072062104175	5.38101430043888	7.7564708347141	-2.20842057381754	3.12144617958487e-25	7.97188977482525e-23
"chr1"	226065358	226065758	401	"*"	7.48135267846815	6.22507287367274	8.14253489588825	-1.82789494169241	3.7539421567182e-25	9.50085558636795e-23
"chr15"	89421894	89422294	401	"*"	7.88660538565515	6.83183012820845	8.48937370562776	-1.60146827151647	3.87898559394413e-25	9.72967341881005e-23
"chr11"	47433690	47434090	401	"*"	8.03589764047315	7.08362185350375	8.60459467826558	-1.47652949479019	4.19714208677297e-25	1.04345409419215e-22
"chr7"	154799643	154800043	401	"*"	6.8876329070567	5.1232041197308	7.6579602926226	-2.33415728490274	4.33011460808698e-25	1.06706938320164e-22
"chr22"	43263721	43264121	401	"*"	6.87219856191039	5.10606833765647	7.6428193595525	-2.33721904026808	4.76339554647247e-25	1.16363540075697e-22
"chr1"	154732886	154733286	401	"*"	7.38022692266793	6.05103205680524	8.06010981578336	-1.90829620175425	5.83012152338774e-25	1.41194486169424e-22
"chr1"	236615288	236615688	401	"*"	7.57070439707215	6.37380020839954	8.21575088809695	-1.75962818340661	8.11816512059178e-25	1.94926164728876e-22
"chr22"	39162128	39162528	401	"*"	7.58819793081153	6.41715585876765	8.22594685565346	-1.72902055387566	8.63082195781748e-25	2.05479390899124e-22
"chr17"	16331369	16331769	401	"*"	6.9733277953223	5.33605450838375	7.72053172931947	-2.21182676555788	1.02772178716582e-24	2.42620068628985e-22
"chr15"	75092484	75092884	401	"*"	9.01134040581852	8.40617073095378	9.43637633653324	-1.01364294472203	1.13381063726051e-24	2.65434518604663e-22
"chr12"	131939249	131939649	401	"*"	7.86147714071886	6.84290204823241	8.45257856988633	-1.55285678425886	1.26105620548525e-24	2.92783900666919e-22
"chr18"	32446722	32447122	401	"*"	7.51846819321285	6.32849843780443	8.16157440279132	-1.75462497238043	1.4109913276088e-24	3.24909666938639e-22
"chr3"	46964939	46965339	401	"*"	7.23049494446072	5.86398856406527	7.91949947286016	-1.94339302925921	2.16034594164949e-24	4.93419500315114e-22
"chr2"	31084934	31085334	401	"*"	6.80471209149554	5.01382653036055	7.57955640483442	-2.35281285108708	2.30115451125048e-24	5.21341400681934e-22
"chr5"	176513923	176514323	401	"*"	7.99664959168694	7.05146584281388	8.56286718920178	-1.4642585996409	2.4007779858902e-24	5.39560447660907e-22
"chr18"	34862343	34862743	401	"*"	7.37813052236352	6.11479275850062	8.04117535554556	-1.83027464184469	2.54005163100455e-24	5.66330718014371e-22
"chr17"	79407765	79408165	401	"*"	7.53006822676785	6.33556716662877	8.17444366397444	-1.75859469085532	3.59658342129769e-24	7.95581244523749e-22
"chr9"	131865341	131865741	401	"*"	7.09977857124065	5.61154553640494	7.81659492877297	-2.06254124227237	3.75559869802112e-24	8.24265892371152e-22
"chr4"	57826403	57826803	401	"*"	6.89744818739078	5.22527525258827	7.65124063577552	-2.2410254545006	4.64103193582218e-24	1.01070162924847e-21
"chr12"	49690297	49690697	401	"*"	7.45369243348485	6.23343043373454	8.10518755958264	-1.78693444421172	5.4228259663387e-24	1.17187269132579e-21
"chr1"	154836080	154836480	401	"*"	8.12291460419366	7.22537643140101	8.67203965813144	-1.40793580205737	5.66704845928372e-24	1.21530070508899e-21
"chr21"	30872070	30872470	401	"*"	8.46569261543899	7.67925650439074	8.97181258915308	-1.26444666443257	6.30104797609577e-24	1.34102530903378e-21
"chr20"	33894745	33895145	401	"*"	7.91796592350722	6.94616744225071	8.49340406694644	-1.49605039785038	7.3698041611169e-24	1.54832334208323e-21
"chr21"	47573129	47573529	401	"*"	7.76568968128524	6.70889044127223	8.36909896778277	-1.59666313560993	7.38530337945938e-24	1.54832334208323e-21
"chr6"	157505374	157505774	401	"*"	7.71821680558607	6.6546043014796	8.32377508046631	-1.60672385351802	7.53435433296672e-24	1.56787123167433e-21
"chr9"	95396969	95397369	401	"*"	7.6462601360729	6.54764038906998	8.26265262080853	-1.64834206181604	7.7846852930343e-24	1.60805267600892e-21
"chr1"	150951940	150952340	401	"*"	9.91204035235337	9.56215810482711	10.1934144076848	-0.630903660777166	8.39332757959352e-24	1.72112227513519e-21
"chr16"	28338192	28338592	401	"*"	7.34160065149126	6.07894700994178	8.00446544638148	-1.83183681698331	1.12003674355921e-23	2.28008639397165e-21
"chr18"	32935016	32935416	401	"*"	7.36937631063512	6.11501121273505	8.03005124156915	-1.81716214915885	1.31122854325939e-23	2.65009665221482e-21
"chr3"	47879146	47879546	401	"*"	7.68282354802338	6.61794339825003	8.28878018376015	-1.60812779875512	1.5132267021276e-23	3.03650555306219e-21
"chr22"	20960471	20960871	401	"*"	7.17066090977091	5.78818031360943	7.86348200076165	-1.95333968669744	1.87670513115447e-23	3.73916859925692e-21
"chr17"	7227490	7227890	401	"*"	7.99458523311299	7.06997988545455	8.55351443262109	-1.43947228699751	1.90481524040148e-23	3.76844891187316e-21
"chr17"	34131711	34132111	401	"*"	7.12143368548964	5.70851409976727	7.82138421249613	-1.98437750981285	2.06114659209391e-23	4.04921616864995e-21
"chr20"	33917334	33917734	401	"*"	7.58750838599173	6.47353077260609	8.20854657740133	-1.66061334733136	2.16578582575103e-23	4.22523758352942e-21
"chr3"	54180638	54181038	401	"*"	7.68002952672809	6.60558566481176	8.28897681255642	-1.61790297056993	2.23930078939413e-23	4.33852945354822e-21
"chr1"	206780208	206780608	401	"*"	6.92217719125362	5.30558983594695	7.66538541068422	-2.18584378194141	2.37091969781545e-23	4.56207171717326e-21
"chr17"	61912214	61912614	401	"*"	7.04352814929627	5.56040607054561	7.75923366344951	-2.05691484146212	2.79975000788795e-23	5.35056986201334e-21
"chr22"	32774673	32775073	401	"*"	6.9519186560597	5.366109423795	7.68905353691636	-2.15743584218952	2.94240056045123e-23	5.585193171943e-21
"chr1"	225741893	225742293	401	"*"	7.77247956938779	6.73775768544758	8.36883277874605	-1.56744108750441	2.96454627529967e-23	5.58946298738213e-21
"chr1"	202938097	202938497	401	"*"	7.59320602987599	6.49404049987911	8.2097647190864	-1.64360153514155	3.21511811981831e-23	5.99345733582018e-21
"chr1"	111984190	111984590	401	"*"	6.99811574359797	5.48043370868023	7.72124036329512	-2.08764789500324	3.22148598479638e-23	5.99345733582018e-21
"chr19"	6047946	6048346	401	"*"	6.81204849719779	5.08783648409593	7.57532086134805	-2.27930043067527	3.55510101243339e-23	6.57062189094021e-21
"chr7"	150709899	150710299	401	"*"	7.08571869239065	5.66093413871447	7.78839840962878	-1.99612503585497	4.43668267885509e-23	8.14638735275007e-21
"chr16"	1973610	1974010	401	"*"	7.93305756957336	6.98511156775038	8.50024283191402	-1.46370948138171	4.5447070744815e-23	8.29054908074083e-21
"chr11"	117689768	117690168	401	"*"	7.04100368408631	5.57363212954	7.75325557851146	-2.03822116251155	5.08802311760029e-23	9.22179570598354e-21
"chr11"	117051957	117052357	401	"*"	6.7848562346573	5.07000242161755	7.54645347723538	-2.27194974014054	5.24143092255753e-23	9.43894351970569e-21
"chr11"	62379863	62380263	401	"*"	7.98199241478049	7.0563441965879	8.54129437397113	-1.43761458097794	6.44913018499793e-23	1.15398353049138e-20
"chr1"	223316182	223316582	401	"*"	7.80756089687832	6.80528975243337	8.3932796519264	-1.53254366888093	7.8754015244876e-23	1.40027629764196e-20
"chr5"	180046152	180046552	401	"*"	7.51577254223236	6.39547904070875	8.13870267444513	-1.66672697883144	8.38987156950777e-23	1.48236894340995e-20
"chr16"	20786036	20786436	401	"*"	7.52520546958374	6.39547904070875	8.15094130994689	-1.67531222879328	1.03760345668909e-22	1.82183711929792e-20
"chr15"	90293901	90294301	401	"*"	6.96869521483616	5.36574228967551	7.7092321288086	-2.16145993148045	1.06944587307838e-22	1.86608341070751e-20
"chr17"	4785275	4785675	401	"*"	7.64639635590642	6.57309158783318	8.25498880126602	-1.6150500210683	1.11589601081885e-22	1.93511522419345e-20
"chr16"	88058115	88058515	401	"*"	6.71198246204453	4.93611036644684	7.48427545519741	-2.32209139926013	1.1269455075663e-22	1.94228712540247e-20
"chr1"	155176608	155177008	401	"*"	7.78512137388738	6.79948226910645	8.36526496590972	-1.51015380415958	1.17467971370425e-22	2.01221202421301e-20
"chr15"	78195187	78195587	401	"*"	8.04464718161558	7.14534718217563	8.59441805599284	-1.40842792579495	1.38700616879113e-22	2.36152510908176e-20
"chr3"	13535888	13536288	401	"*"	7.07259593359974	5.66099398530237	7.77224166910364	-1.97995633527684	1.42347518313375e-22	2.40901736866124e-20
"chr5"	177034400	177034800	401	"*"	8.53186262645858	7.81058847619243	9.01051194969829	-1.17232859478775	1.49513441613112e-22	2.51513839235758e-20
"chr1"	225999299	225999699	401	"*"	7.71484502484932	6.69696972479344	8.30571707790754	-1.5499499555905	1.66221622693431e-22	2.77956193233724e-20
"chr17"	79779592	79779992	401	"*"	6.8951099643216	5.32067530285922	7.62996074011183	-2.13956063797042	1.73045806549224e-22	2.87655375348364e-20
"chr15"	67066674	67067074	401	"*"	7.91532752593423	6.97580446291896	8.47955424918686	-1.45407229907223	2.04786393070246e-22	3.36780046769267e-20
"chr5"	61064527	61064927	401	"*"	7.05645467911394	5.62394464730037	7.76089664527686	-2.00182987638505	2.04995507768998e-22	3.36780046769267e-20
"chr19"	3849121	3849521	401	"*"	6.79331586194109	5.10562867879597	7.5499769599671	-2.24426445499487	2.1170889523368e-22	3.45787092662777e-20
"chr1"	224888649	224889049	401	"*"	7.58404871450781	6.50104682564959	8.19565021097154	-1.6259404648209	2.17300563306642e-22	3.52868481212341e-20
"chr1"	54776634	54777034	401	"*"	7.12272117516282	5.75496740127973	7.812025619919	-1.93521216828581	2.25817957466879e-22	3.64592176960749e-20
"chr19"	3103984	3104384	401	"*"	7.46344698527279	6.29791056515066	8.09962056959937	-1.71663330387286	2.27291312800812e-22	3.64873991457898e-20
"chr1"	226612163	226612563	401	"*"	7.76698898124082	6.78288098969181	8.34661500441749	-1.5075316514789	2.34753734016278e-22	3.74712309643142e-20
"chr7"	139705631	139706031	401	"*"	6.74489841960548	5.03301172623295	7.50596186530949	-2.26270459111652	2.44589693015674e-22	3.88206680558719e-20
"chr12"	49389198	49389598	401	"*"	7.30818399338936	6.08779196516856	7.95971464648389	-1.77791258713999	2.90050995166698e-22	4.57775427371801e-20
"chr9"	139622507	139622907	401	"*"	7.96582096617148	7.05588911778314	8.5194663117075	-1.41894686839295	3.26765066904163e-22	5.1283860472283e-20
"chr17"	37732457	37732857	401	"*"	6.88638527437704	5.22600358171017	7.63797287302431	-2.21997378888885	3.54212333360433e-22	5.52827060060813e-20
"chr19"	56820923	56821323	401	"*"	7.60275367322588	6.54744616470624	8.20569066431223	-1.5899858621467	3.587109571133e-22	5.56755078352703e-20
"chr10"	43700349	43700749	401	"*"	7.83341506271435	6.88492504487844	8.40079060858718	-1.46325702022417	5.00699442407412e-22	7.72865353601727e-20
"chr1"	207108804	207109204	401	"*"	7.22072721975449	5.95600856894648	7.88413512823407	-1.82458948668892	5.11220819404109e-22	7.84793796695061e-20
"chr11"	133800580	133800980	401	"*"	6.69888435474956	4.9364070672319	7.46887470503539	-2.30707813782228	5.60844061815033e-22	8.56293055900528e-20
"chr22"	42564926	42565326	401	"*"	7.50083646612135	6.36640306383759	8.12796346705726	-1.68393171663034	5.94635443624456e-22	9.02978027986045e-20
